[   14    34    41 52657],2
[    14     34     42 653429],62
[    14     34     42 689868],5
[    14     34     42 693895],1
[    14     34     42 697758],3
[    14     34     42 701745],5
[    14     34     42 714556],7
[    14     34     42 718531],3
[    14     34     42 722552],9
[    14     34     42 726332],9
[    14     34     42 730321],4
[    14     34     42 738858],3
[    14     34     42 742664],2
[    14     34     42 746685],1
[    14     34     42 751352],65
[    14     34     42 755339],64
[    14     34     42 759646],61
[    14     34     42 763670],62
[    14     34     42 767655],62
[    14     34     42 771791],61
[    14     34     42 775782],62
[    14     34     42 779668],63
[    14     34     42 784188],60
[    14     34     42 788218],59
[    14     34     42 792199],62
[    14     34     42 796160],65
[    14     34     42 800174],60
[    14     34     42 804534],60
[    14     34     42 808992],61
[    14     34     42 816991],63
[    14     34     42 948223],1
[    14     34     42 951870],1
[    14     34     42 955887],2
[    14     34     42 959908],1
[    14     34     42 964002],1
[    14     34     42 968592],1
[    14     34     42 972580],2
[    14     34     42 976307],1
[    14     34     42 980925],3
[    14     34     42 984911],7
[    14     34     42 988853],2
[    14     34     42 992842],4
[    14     34     42 997071],3
[  14   34   43 1063],2
[  14   34   43 4970],9
[  14   34   43 9147],2
[   14    34    43 13166],63
[   14    34    43 17127],62
[   14    34    43 21146],61
[   14    34    43 25106],62
[   14    34    43 29560],65
[   14    34    43 33552],61
[   14    34    43 37572],63
[   14    34    43 41561],61
[   14    34    43 46520],60
[   14    34    43 50538],66
[   14    34    43 54399],60
[   14    34    43 58311],57
[   14    34    43 62331],63
[   14    34    43 66249],62
[   14    34    43 75229],63
[    14     34     43 210125],2
[    14     34     43 214114],4
[    14     34     43 217874],1
[    14     34     43 226846],2
[    14     34     43 230811],9
[    14     34     43 234799],1
[    14     34     43 238301],3
[    14     34     43 242292],2
[    14     34     43 247142],6
[    14     34     43 250882],2
[    14     34     43 258858],2
[    14     34     43 267424],1
[    14     34     43 271452],68
[    14     34     43 275321],60
[    14     34     43 279282],62
[    14     34     43 283304],59
[    14     34     43 287289],63
[    14     34     43 292271],62
[    14     34     43 296265],63
[    14     34     43 300226],64
[    14     34     43 304392],61
[    14     34     43 308220],64
[    14     34     43 312240],62
[    14     34     43 316229],62
[    14     34     43 320191],60
[    14     34     43 324216],60
[    14     34     43 329166],64
[    14     34     43 337166],64
[    14     34     43 463814],4
[    14     34     43 472125],2
[    14     34     43 476114],4
[    14     34     43 480104],1
[    14     34     43 484093],9
[    14     34     43 492262],1
[    14     34     43 496293],1
[    14     34     43 500244],8
[    14     34     43 508909],1
[    14     34     43 512901],4
[    14     34     43 516883],8
[    14     34     43 520876],6
[    14     34     43 525340],2
[    14     34     43 529425],61
[    14     34     43 533726],61
[    14     34     43 537746],62
[    14     34     43 541917],63
[    14     34     43 545905],63
[    14     34     43 549896],62
[    14     34     43 554457],63
[    14     34     43 558296],61
[    14     34     43 562283],65
[    14     34     43 566158],60
[    14     34     43 570182],60
[    14     34     43 574169],59
[    14     34     43 578161],62
[    14     34     43 582672],61
[    14     34     43 586661],61
[    14     34     43 594649],61
[    14     34     43 726431],6
[    14     34     43 729740],2
[    14     34     43 733760],2
[    14     34     43 737754],6
[    14     34     43 746726],1
[    14     34     43 750685],1
[    14     34     43 758874],9
[    14     34     43 762901],7
[    14     34     43 766588],2
[    14     34     43 770553],5
[    14     34     43 775540],2
[    14     34     43 779529],2
[    14     34     43 783518],2
[    14     34     43 787684],60
[    14     34     43 791710],61
[    14     34     43 795901],62
[    14     34     43 799864],65
[    14     34     43 803853],60
[    14     34     43 807842],62
[    14     34     43 811832],61
[    14     34     43 815860],61
[    14     34     43 820514],59
[    14     34     43 824532],65
[    14     34     43 828561],61
[    14     34     43 832575],61
[    14     34     43 836529],61
[    14     34     43 840518],61
[    14     34     43 844538],64
[    14     34     43 853117],64
[    14     34     43 984044],2
[    14     34     43 992022],2
[    14     34     43 996568],4
[ 14  34  44 592],3
[  14   34   44 4618],2
[  14   34   44 8644],1
[   14    34    44 12597],3
[   14    34    44 16812],1
[   14    34    44 20845],1
[   14    34    44 24797],3
[   14    34    44 29018],2
[   14    34    44 33542],2
