[    10     34      2 606348],69
[    10     34      4 207032],77
[    10     34      4 211022],77
[    10     34      4 214954],73
[    10     34      4 219362],78
[    10     34      4 223351],76
[    10     34      4 227619],75
[    10     34      4 231607],74
[    10     34      4 235746],74
[    10     34      4 239732],77
[    10     34      4 243960],72
[    10     34      4 247943],73
[    10     34      4 255954],74
[    10     34      4 382396],3
[    10     34      4 387386],1
[    10     34      4 390384],4
[    10     34      4 394356],5
[    10     34      4 398370],7
[    10     34      4 402739],7
[    10     34      4 406983],3
[    10     34      4 411443],5
[    10     34      4 414741],1
[    10     34      4 419056],5
[    10     34      4 423058],4
[    10     34      4 427303],8
[    10     34      4 431379],4
[    10     34      4 435429],1
[    10     34      4 439569],8
[    10     34      4 443743],6
[    10     34      4 447779],73
[    10     34      4 451370],72
[    10     34      4 455741],75
[    10     34      4 460084],81
[    10     34      4 464178],73
[    10     34      4 468279],70
[    10     34      4 472383],69
[    10     34      4 476505],74
[    10     34      4 480524],75
[    10     34      4 484072],70
[    10     34      4 488822],70
[    10     34      4 492827],74
[    10     34      4 496965],73
[    10     34      4 500678],77
[    10     34      4 505238],75
[    10     34      4 513354],80
[    10     34      4 653524],9
[    10     34      4 657512],4
[    10     34      4 661431],3
[    10     34      4 665236],7
[    10     34      4 669957],3
[    10     34      4 674024],1
[    10     34      4 678074],6
[    10     34      4 682393],4
[    10     34      4 686337],1
[    10     34      4 690436],5
[    10     34      4 694539],8
[    10     34      4 698603],3
[    10     34      4 701545],8
[    10     34      4 706432],9
[    10     34      4 709911],72
[    10     34      4 714068],76
[    10     34      4 718115],72
[    10     34      4 722203],77
[    10     34      4 726386],75
[    10     34      4 730356],73
[    10     34      4 734550],73
[    10     34      4 738544],73
[    10     34      4 742681],76
[    10     34      4 747581],75
[    10     34      4 751383],76
[    10     34      4 755231],76
[    10     34      4 759097],73
[    10     34      4 763166],76
[    10     34      4 771420],70
[    10     34      4 903362],8
[    10     34      4 907519],4
[    10     34      4 911432],6
[    10     34      4 915711],3
[    10     34      4 919784],2
[    10     34      4 923904],7
[    10     34      4 927891],4
[    10     34      4 931881],5
[    10     34      4 936186],7
[    10     34      4 940288],2
[    10     34      4 944321],3
[    10     34      4 948427],4
[    10     34      4 952570],9
[    10     34      4 956433],6
[    10     34      4 960540],3
[    10     34      4 964835],4
[    10     34      4 967776],73
[    10     34      4 971877],72
[    10     34      4 976101],71
[    10     34      4 980587],75
[    10     34      4 984408],73
[    10     34      4 988485],73
[    10     34      4 992235],74
[    10     34      4 996591],74
[  10   34    5 1425],71
[  10   34    5 4859],72
[  10   34    5 8985],74
[   10    34     5 12985],73
[   10    34     5 17063],71
[   10    34     5 21387],71
[   10    34     5 25281],74
[   10    34     5 33511],76
[    10     34      5 160453],4
[    10     34      5 164007],6
[    10     34      5 168498],3
[    10     34      5 172759],5
[    10     34      5 176644],3
[    10     34      5 180909],1
[    10     34      5 184435],3
[    10     34      5 189010],2
[    10     34      5 193184],6
[    10     34      5 197322],4
[    10     34      5 201382],2
[    10     34      5 205442],1
[    10     34      5 209651],6
[    10     34      5 213136],1
[    10     34      5 217729],9
[    10     34      5 221809],1
[    10     34      5 225922],76
[    10     34      5 230105],73
[    10     34      5 234221],73
[    10     34      5 238312],76
[    10     34      5 242373],75
[    10     34      5 246483],73
[    10     34      5 250595],72
[    10     34      5 254671],70
[    10     34      5 258796],70
