[    13     50     50 793133],59
[    13     50     50 875057],5
[    13     50     50 879046],5
[    13     50     50 883035],7
[    13     50     50 887057],3
[    13     50     50 891372],8
[    13     50     50 899350],9
[    13     50     50 903786],1
[    13     50     50 907776],2
[    13     50     50 911763],2
[    13     50     50 916249],4
[    13     50     50 920238],3
[    13     50     50 924258],2
[    13     50     50 927652],1
[    13     50     50 932651],7
[    13     50     50 936627],9
[    13     50     50 940386],60
[    13     50     50 944378],60
[    13     50     50 948365],61
[    13     50     50 952353],60
[    13     50     50 956342],67
[    13     50     50 961088],60
[    13     50     50 965047],59
[    13     50     50 969065],59
[    13     50     50 973055],60
[    13     50     50 977044],59
[    13     50     50 981005],67
[    13     50     50 984996],64
[    13     50     50 989768],58
[    13     50     50 993759],65
[    13     50     50 997748],65
[  13   50   51 5727],61
[    13     50     51 133136],8
[    13     50     51 137160],1
[    13     50     51 140699],9
[    13     50     51 149674],4
[    13     50     51 153693],8
[    13     50     51 157653],2
[    13     50     51 161786],3
[    13     50     51 165856],3
[    13     50     51 169879],4
[    13     50     51 173861],7
[    13     50     51 177514],1
[    13     50     51 182504],7
[    13     50     51 185753],7
[    13     50     51 189912],8
[    13     50     51 193904],9
[    13     50     51 198375],63
[    13     50     51 202335],62
[    13     50     51 206354],58
[    13     50     51 210903],65
[    13     50     51 214883],66
[    13     50     51 218842],66
[    13     50     51 222861],63
[    13     50     51 226850],63
[    13     50     51 230839],64
[    13     50     51 234871],61
[    13     50     51 239856],59
[    13     50     51 243843],66
[    13     50     51 247832],72
[    13     50     51 251822],70
[    13     50     51 255812],60
[    13     50     51 263847],63
[    13     50     51 390989],1
[    13     50     51 394832],5
[    13     50     51 398853],3
[    13     50     51 402845],6
[    13     50     51 406833],6
[    13     50     51 411789],8
[    13     50     51 415289],3
[    13     50     51 419278],6
[    13     50     51 423267],1
[    13     50     51 427476],9
[    13     50     51 431465],3
[    13     50     51 435805],3
[    13     50     51 440202],8
[    13     50     51 444194],3
[    13     50     51 448185],3
[    13     50     51 452703],4
[    13     50     51 456689],57
[    13     50     51 460882],63
[    13     50     51 465095],63
[    13     50     51 469084],62
[    13     50     51 473083],61
[    13     50     51 476767],63
[    13     50     51 480759],67
[    13     50     51 484777],59
[    13     50     51 489243],64
[    13     50     51 493234],64
[    13     50     51 497253],63
[    13     50     51 501577],67
[    13     50     51 505568],61
[    13     50     51 509806],60
[    13     50     51 514037],64
[    13     50     51 522053],57
[    13     50     51 653370],4
[    13     50     51 657368],7
[    13     50     51 661359],7
[    13     50     51 669205],3
[    13     50     51 673194],2
[    13     50     51 677558],6
[    13     50     51 681548],5
[    13     50     51 685741],8
[    13     50     51 689989],1
[    13     50     51 693979],2
[    13     50     51 697911],9
[    13     50     51 702455],5
[    13     50     51 706445],1
[    13     50     51 710802],7
[    13     50     51 714904],7
[    13     50     51 718894],61
[    13     50     51 722820],58
[    13     50     51 726808],64
[    13     50     51 730770],61
[    13     50     51 734759],61
[    13     50     51 738749],61
[    13     50     51 742738],64
[    13     50     51 746727],61
[    13     50     51 751714],61
[    13     50     51 755702],64
[    13     50     51 759247],62
[    13     50     51 763236],59
[    13     50     51 768223],63
[    13     50     51 772212],59
[    13     50     51 776201],58
[    13     50     51 783585],60
[    13     50     51 911405],4
[    13     50     51 915394],8
[    13     50     51 919418],2
[    13     50     51 927126],6
[    13     50     51 935738],1
[    13     50     51 939728],1
[    13     50     51 943717],2
[    13     50     51 948011],7
[    13     50     51 952001],7
[    13     50     51 968642],4
[    13     50     51 976305],63
[    13     50     51 980500],60
[    13     50     51 984606],58
[    13     50     51 988597],59
[    13     50     51 992615],62
[    13     50     51 997084],61
[  13   50   52 1076],61
[  13   50   52 5132],61
[  13   50   52 9612],66
