[    11     23     20 858191],63
[    11     23     20 948418],3
[    11     23     20 952407],5
[    11     23     20 956243],4
[    11     23     20 960144],3
[    11     23     20 964495],1
[    11     23     20 968488],5
[    11     23     20 972506],4
[    11     23     20 976466],5
[    11     23     20 980455],7
[    11     23     20 984627],7
[    11     23     20 988325],5
[    11     23     20 993343],1
[    11     23     20 997247],6
[ 11  23  21 958],4
[  11   23   21 5410],4
[  11   23   21 9406],4
[   11    23    21 13394],65
[   11    23    21 17383],66
[   11    23    21 21409],65
[   11    23    21 25363],63
[   11    23    21 29353],62
[   11    23    21 34339],66
[   11    23    21 38409],64
[   11    23    21 41901],61
[   11    23    21 45922],66
[   11    23    21 50470],63
[   11    23    21 54430],65
[   11    23    21 58448],62
[   11    23    21 63023],63
[   11    23    21 67014],65
[   11    23    21 71005],66
[   11    23    21 78982],63
[    11     23     21 210267],5
[    11     23     21 214255],4
[    11     23     21 218245],3
[    11     23     21 222263],3
[    11     23     21 226253],3
[    11     23     21 230242],4
[    11     23     21 234237],7
[    11     23     21 238864],9
[    11     23     21 242847],4
[    11     23     21 247128],6
[    11     23     21 250917],5
[    11     23     21 254943],3
[    11     23     21 258926],3
[    11     23     21 262918],5
[    11     23     21 267264],6
[    11     23     21 271286],64
[    11     23     21 275345],64
[    11     23     21 279263],65
[    11     23     21 283284],66
[    11     23     21 287439],67
[    11     23     21 291479],64
[    11     23     21 296497],65
[    11     23     21 300419],64
[    11     23     21 304349],63
[    11     23     21 308375],64
[    11     23     21 312250],66
[    11     23     21 316101],67
[    11     23     21 321058],65
[    11     23     21 325077],66
[    11     23     21 328474],64
[    11     23     21 337100],65
[    11     23     21 467850],5
[    11     23     21 472383],6
[    11     23     21 476373],6
[    11     23     21 480362],8
[    11     23     21 484351],5
[    11     23     21 488328],6
[    11     23     21 492357],1
[    11     23     21 496309],4
[    11     23     21 501033],5
[    11     23     21 505022],3
[    11     23     21 509011],9
[    11     23     21 512996],7
[    11     23     21 517277],8
[    11     23     21 521297],2
[    11     23     21 525288],4
[    11     23     21 529173],5
[    11     23     21 533193],66
[    11     23     21 537789],62
[    11     23     21 541407],65
[    11     23     21 545423],66
[    11     23     21 550386],64
[    11     23     21 554305],66
[    11     23     21 558138],65
[    11     23     21 562130],64
[    11     23     21 566077],63
[    11     23     21 570836],61
[    11     23     21 574825],62
[    11     23     21 578814],64
[    11     23     21 582804],69
[    11     23     21 586822],64
[    11     23     21 590813],68
[    11     23     21 598926],67
[    11     23     21 726183],3
[    11     23     21 730290],4
[    11     23     21 734311],5
[    11     23     21 738306],4
[    11     23     21 742290],3
[    11     23     21 746287],4
[    11     23     21 750127],4
[    11     23     21 754378],4
[    11     23     21 758399],7
[    11     23     21 763385],4
[    11     23     21 767375],5
[    11     23     21 771376],2
[    11     23     21 775354],3
[    11     23     21 779212],6
[    11     23     21 783594],4
[    11     23     21 787615],6
[    11     23     21 791725],61
[    11     23     21 795437],64
[    11     23     21 799432],64
[    11     23     21 803424],63
[    11     23     21 808105],65
[    11     23     21 812094],67
[    11     23     21 816084],66
[    11     23     21 819856],68
[    11     23     21 824813],66
[    11     23     21 828802],65
[    11     23     21 832443],66
[    11     23     21 836431],63
