[    14      7     12 304764],5
[    14      7     13 906214],73
[    14      7     13 996539],4
[ 14   7  14 527],2
[  14    7   14 4517],2
[  14    7   14 8546],5
[   14     7    14 12496],6
[   14     7    14 16600],2
[   14     7    14 20591],3
[   14     7    14 24610],3
[   14     7    14 28778],3
[   14     7    14 32764],1
[   14     7    14 36755],2
[   14     7    14 41476],4
[   14     7    14 45497],3
[   14     7    14 49489],2
[   14     7    14 53476],4
[   14     7    14 57468],3
[   14     7    14 61350],73
[   14     7    14 65339],71
[   14     7    14 69513],73
[   14     7    14 73503],75
[   14     7    14 78461],74
[   14     7    14 82450],71
[   14     7    14 86469],72
[   14     7    14 90459],74
[   14     7    14 94380],74
[   14     7    14 98340],72
[    14      7     14 102366],72
[    14      7     14 106793],74
[    14      7     14 111262],73
[    14      7     14 115251],71
[    14      7     14 119306],73
[    14      7     14 127288],74
[    14      7     14 254171],3
[    14      7     14 258188],5
[    14      7     14 262292],4
[    14      7     14 266252],2
[    14      7     14 270243],3
[    14      7     14 274232],5
[    14      7     14 279218],4
[    14      7     14 283208],3
[    14      7     14 286878],4
[    14      7     14 290864],4
[    14      7     14 294852],4
[    14      7     14 298841],2
[    14      7     14 303584],4
[    14      7     14 307604],4
[    14      7     14 311596],3
[    14      7     14 315585],2
[    14      7     14 319573],73
[    14      7     14 323562],75
[    14      7     14 327559],74
[    14      7     14 331824],73
[    14      7     14 336207],72
[    14      7     14 340232],73
[    14      7     14 344327],72
[    14      7     14 348316],74
[    14      7     14 352313],74
[    14      7     14 356674],73
[    14      7     14 360599],73
[    14      7     14 364590],72
[    14      7     14 369144],72
[    14      7     14 373162],73
[    14      7     14 377147],73
[    14      7     14 385189],73
[    14      7     14 512072],4
[    14      7     14 516061],3
[    14      7     14 520608],3
[    14      7     14 524631],4
[    14      7     14 528618],3
[    14      7     14 532579],3
[    14      7     14 536568],4
[    14      7     14 541331],3
[    14      7     14 545138],3
[    14      7     14 549161],4
[    14      7     14 553148],2
[    14      7     14 557141],3
[    14      7     14 561126],4
[    14      7     14 565276],2
[    14      7     14 569303],2
[    14      7     14 573468],3
[    14      7     14 577490],74
[    14      7     14 581476],71
[    14      7     14 585436],73
[    14      7     14 590280],74
[    14      7     14 594293],74
[    14      7     14 598276],73
[    14      7     14 602265],73
[    14      7     14 606255],74
[    14      7     14 610245],75
[    14      7     14 614236],73
[    14      7     14 619191],72
[    14      7     14 623180],73
[    14      7     14 626543],73
[    14      7     14 631194],72
[    14      7     14 635231],72
[    14      7     14 643547],75
[    14      7     14 774602],5
[    14      7     14 778594],4
[    14      7     14 782937],2
[    14      7     14 786653],2
[    14      7     14 790664],4
[    14      7     14 794456],4
[    14      7     14 799229],4
[    14      7     14 803249],3
[    14      7     14 806834],4
[    14      7     14 810823],6
[    14      7     14 815782],2
[    14      7     14 819768],4
[    14      7     14 823757],4
[    14      7     14 827746],5
[    14      7     14 831886],2
[    14      7     14 835874],1
[    14      7     14 839632],74
[    14      7     14 843622],76
[    14      7     14 847611],72
[    14      7     14 852628],74
[    14      7     14 855850],74
[    14      7     14 860839],74
[    14      7     14 864828],73
[    14      7     14 868817],74
[    14      7     14 872836],74
[    14      7     14 876426],76
[    14      7     14 881187],72
[    14      7     14 885213],74
[    14      7     14 888695],75
[    14      7     14 893276],74
[    14      7     14 897296],74
[    14      7     14 905609],73
[   14     7    15 32491],4
[   14     7    15 36059],3
[   14     7    15 40113],4
[   14     7    15 45132],3
[   14     7    15 49003],3
[   14     7    15 52666],4
[   14     7    15 56687],5
[   14     7    15 60939],6
[   14     7    15 65046],4
[   14     7    15 69043],3
[   14     7    15 73213],5
[   14     7    15 78208],6
[   14     7    15 82192],4
[   14     7    15 86181],4
[   14     7    15 90178],5
[   14     7    15 94130],7
[   14     7    15 98118],72
[    14      7     15 101548],74
[    14      7     15 105682],77
[    14      7     15 110671],74
[    14      7     15 114638],74
[    14      7     15 118628],73
[    14      7     15 122621],74
[    14      7     15 126174],74
[    14      7     15 130665],73
[    14      7     15 134659],74
[    14      7     15 138557],76
[    14      7     15 142553],76
[    14      7     15 146537],74
[    14      7     15 151051],73
[    14      7     15 155554],75
[    14      7     15 163480],76
[    14      7     15 290426],6
[    14      7     15 294446],5
[    14      7     15 298431],2
[    14      7     15 302664],2
[    14      7     15 306666],5
[    14      7     15 310663],5
[    14      7     15 315065],4
[    14      7     15 319054],4
[    14      7     15 323043],4
[    14      7     15 327555],5
[    14      7     15 331544],2
[    14      7     15 335563],4
[    14      7     15 340021],6
[    14      7     15 344010],5
[    14      7     15 347950],5
[    14      7     15 352499],3
[    14      7     15 356445],74
[    14      7     15 360435],76
[    14      7     15 364422],74
[    14      7     15 368635],75
[    14      7     15 372628],75
[    14      7     15 376480],76
[    14      7     15 380476],73
[    14      7     15 384453],74
[    14      7     15 388997],75
[    14      7     15 393016],76
[    14      7     15 397006],74
[    14      7     15 401341],74
[    14      7     15 405332],73
[    14      7     15 409350],76
[    14      7     15 413574],74
[    14      7     15 420973],73
[    14      7     15 552639],5
[    14      7     15 556600],5
[    14      7     15 560617],6
[    14      7     15 564607],4
[    14      7     15 568598],3
[    14      7     15 572585],5
[    14      7     15 577544],6
[    14      7     15 581276],5
[    14      7     15 585267],4
[    14      7     15 589287],6
[    14      7     15 593246],6
[    14      7     15 597271],3
[    14      7     15 602073],6
[    14      7     15 606062],5
[    14      7     15 610052],5
[    14      7     15 614041],4
[    14      7     15 618002],73
[    14      7     15 621991],75
[    14      7     15 626079],77
[    14      7     15 630039],74
[    14      7     15 634028],75
[    14      7     15 639015],75
[    14      7     15 643004],74
[    14      7     15 646993],75
[    14      7     15 650971],74
[    14      7     15 654932],74
[    14      7     15 658954],76
[    14      7     15 662666],74
[    14      7     15 667655],73
[    14      7     15 671644],76
[    14      7     15 675120],76
[    14      7     15 684067],75
[    14      7     15 810640],4
[    14      7     15 814599],2
[    14      7     15 818578],4
[    14      7     15 822666],3
[    14      7     15 826690],7
[    14      7     15 831279],2
[    14      7     15 834642],5
[    14      7     15 839659],7
[    14      7     15 843668],5
[    14      7     15 847667],5
[    14      7     15 851690],3
[    14      7     15 856065],4
[    14      7     15 859596],5
[    14      7     15 863587],5
[    14      7     15 867576],3
[    14      7     15 871803],4
[    14      7     15 875688],75
[    14      7     15 880145],74
[    14      7     15 884176],75
[    14      7     15 888125],76
[    14      7     15 892704],79
[    14      7     15 896842],74
[    14      7     15 900691],73
[    14      7     15 904998],75
[    14      7     15 909182],75
[    14      7     15 913205],75
[    14      7     15 917192],73
[    14      7     15 921516],75
[    14      7     15 925536],77
[    14      7     15 929525],76
[    14      7     15 933516],75
[    14      7     15 941662],77
[   14     7    16 68991],5
[   14     7    16 72636],4
[   14     7    16 76627],7
[   14     7    16 80616],4
[   14     7    16 84606],3
[   14     7    16 88596],5
[   14     7    16 92786],6
[   14     7    16 97670],6
[    14      7     16 101692],6
[    14      7     16 105579],4
[    14      7     16 109621],6
[    14      7     16 113642],4
[    14      7     16 117799],4
[    14      7     16 121652],3
[    14      7     16 125632],6
[    14      7     16 129621],5
[    14      7     16 134401],76
[    14      7     16 138393],73
[    14      7     16 142411],76
[    14      7     16 146656],75
[    14      7     16 150679],73
[    14      7     16 154634],76
[    14      7     16 158624],75
[    14      7     16 162613],76
[    14      7     16 166788],72
[    14      7     16 170777],76
[    14      7     16 174766],78
[    14      7     16 178756],68
[    14      7     16 183743],73
[    14      7     16 187731],75
[    14      7     16 191577],77
[    14      7     16 199635],75
[    14      7     16 330930],5
[    14      7     16 334958],3
[    14      7     16 338947],4
[    14      7     16 342900],6
[    14      7     16 346919],3
[    14      7     16 351761],5
[    14      7     16 355170],5
[    14      7     16 359204],5
[    14      7     16 363182],7
[    14      7     16 367140],4
[    14      7     16 372126],5
[    14      7     16 375793],8
[    14      7     16 380108],4
[    14      7     16 384101],5
[    14      7     16 388547],5
[    14      7     16 392537],6
[    14      7     16 396554],74
[    14      7     16 400628],73
[    14      7     16 404679],75
[    14      7     16 408556],77
[    14      7     16 412580],75
[    14      7     16 416564],74
[    14      7     16 420554],74
[    14      7     16 424798],76
[    14      7     16 428786],74
[    14      7     16 433102],73
[    14      7     16 437390],74
[    14      7     16 441382],77
[    14      7     16 445369],74
[    14      7     16 449828],74
[    14      7     16 457246],77
[    14      7     16 589013],6
[    14      7     16 592782],8
[    14      7     16 596777],6
[    14      7     16 600639],5
[    14      7     16 604776],4
[    14      7     16 609323],6
[    14      7     16 613343],6
[    14      7     16 617399],6
[    14      7     16 621571],5
[    14      7     16 625567],4
[    14      7     16 629556],5
[    14      7     16 633545],4
[    14      7     16 637565],6
[    14      7     16 642521],8
[    14      7     16 646510],5
[    14      7     16 650500],4
[    14      7     16 654518],77
[    14      7     16 658478],78
[    14      7     16 662502],77
[    14      7     16 666273],76
[    14      7     16 670234],75
[    14      7     16 675250],77
[    14      7     16 679238],74
[    14      7     16 683230],73
[    14      7     16 687217],76
[    14      7     16 691462],76
[    14      7     16 695569],74
[    14      7     16 699596],75
[    14      7     16 703859],74
[    14      7     16 707848],73
[    14      7     16 711866],75
[    14      7     16 719431],74
[    14      7     16 846602],5
[    14      7     16 850914],4
[    14      7     16 854905],4
[    14      7     16 858895],6
[    14      7     16 863453],4
[    14      7     16 867444],4
[    14      7     16 871887],5
[    14      7     16 875756],5
[    14      7     16 879776],7
[    14      7     16 883654],5
[    14      7     16 887615],3
[    14      7     16 891604],5
[    14      7     16 895572],6
[    14      7     16 899564],6
[    14      7     16 904148],4
[    14      7     16 908168],4
[    14      7     16 912157],76
[    14      7     16 916450],73
[    14      7     16 920777],74
[    14      7     16 924766],75
[    14      7     16 929177],75
[    14      7     16 933166],75
[    14      7     16 937178],75
[    14      7     16 941174],76
[    14      7     16 945276],75
[    14      7     16 949265],74
[    14      7     16 952993],75
[    14      7     16 957637],76
[    14      7     16 961657],73
[    14      7     16 965647],71
[    14      7     16 969254],72
[    14      7     16 977870],76
[    14      7     17 109080],5
[    14      7     17 113070],6
[    14      7     17 116830],4
[    14      7     17 121574],5
[    14      7     17 125572],6
[    14      7     17 129583],3
[    14      7     17 133780],5
[    14      7     17 137799],5
[    14      7     17 141789],8
[    14      7     17 146118],6
[    14      7     17 150141],2
[    14      7     17 154128],5
[    14      7     17 158360],7
[    14      7     17 162381],5
